,mod,org
505,0,0
506,0,0
507,0,0
508,0,0
509,88,2
510,0,0
511,0,0
512,0,0
513,0,4
514,0,0
515,1,0
516,0,0
517,1,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,1
524,0,20
525,0,0
526,0,137
527,0,0
528,0,0
529,0,0
530,89,0
531,44,0
532,0,0
533,3,1
534,1,4
535,160,0
536,0,0
537,0,2
538,0,0
539,0,0
540,0,0
541,0,0
542,0,0
543,0,1
544,0,2
545,0,0
546,0,0
547,0,0
548,0,0
549,0,0
550,68,0
551,0,0
552,4,0
553,13,0
554,5,0
555,0,0
556,0,0
557,0,11
558,0,0
559,0,0
560,0,0
561,0,0
562,0,0
563,0,0
564,0,0
565,0,0
566,0,0
567,307,0
568,0,0
569,0,0
570,0,11
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,44
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,0,0
584,0,0
585,0,0
586,0,0
587,0,0
588,0,0
589,0,2
590,0,0
591,0,4
