,mod,org
412,47785,48100
413,47768,48103
414,47771,48102
415,12220,48103
416,0,48102
417,48033,48163
418,47958,48163
419,47959,48117
420,48020,48118
421,48020,48117
422,47975,3207
423,47974,48118
424,47975,48117
425,47974,48118
426,47975,48347
427,47974,48393
428,47975,48328
429,48024,48331
430,48024,48330
431,47969,48331
432,47930,48330
433,47933,48331
434,47932,48331
435,47933,48331
436,47932,48509
437,8756,48509
438,0,48347
439,47856,48358
440,47948,48358
441,47414,48359
442,47736,46991
443,47737,48359
444,47769,48359
445,47769,48275
446,47768,48363
447,47769,48295
448,47816,48298
449,47816,48297
450,47770,48298
451,47755,48297
452,47746,48298
453,47753,48297
454,47745,48364
455,47750,48364
456,47748,48308
457,47749,48313
458,47804,48300
459,13049,48309
460,0,48309
461,47763,48308
462,47764,3221
463,47763,48308
464,47764,48354
465,47764,48287
466,47764,48292
467,47810,48291
468,47810,48292
469,47747,48291
470,47939,48292
471,47940,48292
472,47941,48292
473,47940,48429
474,47941,48429
475,47940,48310
476,47971,48342
477,47968,48342
478,47956,48339
479,47957,48474
480,47956,48398
481,10828,48399
482,1,46707
483,47957,48458
484,47957,48382
485,47956,48385
486,48003,48384
487,48003,48385
488,47933,48384
489,47936,48385
490,47935,48385
491,47780,48449
492,47870,48449
493,47862,48404
494,47867,48404
495,47444,48405
496,47763,48404
497,47715,48405
498,47716,48405
499,47716,48273
500,47716,48401
501,47715,48401
502,47715,2045
503,11633,48341
504,0,48340
505,47762,48341
506,47716,48341
507,47699,48341
508,47702,48335
509,47892,48338
510,47894,48400
511,47895,48354
512,47894,48343
513,47895,48350
514,47951,48351
515,47953,48351
516,47904,48351
517,47907,48351
518,47907,48350
519,47906,48396
520,47907,48332
521,47906,48335
522,47907,47614
523,48032,48274
524,48096,48314
525,10446,47904
526,0,48175
527,47888,48174
528,47887,48239
529,47888,48239
530,47735,48194
531,47825,48194
532,47817,48192
533,47881,48181
534,47403,48190
535,47675,48189
536,47675,48184
537,47675,48225
538,47674,48225
539,47675,48162
540,47674,48166
541,47675,48165
542,47728,5197
543,47720,48158
544,47654,48163
545,47657,48162
546,47656,48163
547,13687,48225
548,0,48179
549,47627,48180
550,47561,48179
551,47548,48180
552,47696,48179
553,47704,48180
554,47556,48180
555,47555,48180
556,47556,48229
557,47555,48380
558,47556,48384
559,47555,48383
560,47556,48384
561,47603,48383
562,47603,46747
563,47536,48383
