,mod,org
401,47997,968488
402,47997,577130
403,47869,436963
404,47871,239745
405,47870,48123
406,47869,820854
407,47870,192568
408,47869,48162
409,47870,48162
410,47910,48101
411,47910,96226
412,47869,435844
413,47852,48104
414,47855,96219
415,968408,433206
416,968408,48102
417,60388,48163
418,48119,48163
419,48044,48117
420,48106,48118
421,48107,48117
422,48061,968484
423,48060,577541
424,48060,436311
425,48059,240627
426,48060,48476
427,48059,821566
428,48060,193214
429,48109,48332
430,48110,48330
431,48151,48331
432,48036,96448
433,48020,436538
434,48018,48331
435,48018,96724
436,48017,435066
437,968570,48510
438,968570,48347
439,56984,48466
440,48320,48358
441,47662,48359
442,47984,968701
443,47822,579943
444,47855,434151
445,47855,242012
446,47853,48428
447,47854,820788
448,47901,193595
449,47901,48298
450,47855,51505
451,47840,48297
452,47918,93450
453,47939,434119
454,47838,48364
455,47843,96659
456,47837,435122
457,47837,48316
458,47890,48387
459,968354,48329
460,968354,48309
461,60898,48308
462,47849,968651
463,47848,483548
464,47849,486415
465,47849,241835
466,47849,48314
467,47895,776272
468,47895,193482
469,47832,48291
470,48157,96600
471,48025,48292
472,48026,48292
473,48026,389952
474,48027,48429
475,48026,96601
476,48058,434935
477,48055,48342
478,48044,48340
479,48044,48507
480,48043,48475
481,968541,48399
482,968541,968700
483,58870,483680
484,48042,530331
485,48041,242071
486,48088,48405
487,48088,820616
488,48018,193710
489,48021,48385
490,48021,96844
491,48241,48449
492,48242,48449
493,48112,436644
494,48116,48404
495,47690,93938
496,48009,438882
497,47800,48405
498,47801,48406
499,47801,48320
500,47801,48445
501,47800,48401
502,47800,968656
503,968310,481260
504,968310,488912
505,59481,239318
506,47803,48362
507,47785,338834
508,47787,631160
509,48106,48340
510,47979,96742
511,47980,48354
512,48058,48430
513,48060,437388
514,48038,48351
515,48040,48351
516,47991,483832
517,47994,48351
518,47993,48351
519,47991,48397
520,47992,48332
521,47991,48335
522,47992,968650
523,48117,435270
524,48181,579602
525,968494,193182
526,968494,48313
527,58419,385758
528,47972,628065
529,47974,48239
530,48196,96468
531,48198,48194
532,48069,48193
533,48131,482405
534,47649,48194
535,47920,48189
536,47760,458379
537,47760,71708
538,47759,48225
539,47760,48162
540,47759,48166
541,47761,48165
542,47814,968486
543,47806,433677
544,47739,535244
545,47742,192807
546,47741,48163
547,968265,337442
548,968253,631636
549,61412,48180
550,47727,96337
551,47733,48180
552,47892,48180
553,47814,438892
554,47648,48180
555,47642,48180
556,47644,481920
557,47641,48432
558,47641,48384
559,47639,48384
560,47640,48384
561,47687,48383
562,47687,968700
563,47620,433758
564,47623,578354
565,47622,192973
566,47624,48445
567,47895,337681
568,47550,675408
569,968084,48400
570,968084,96814
571,64434,48401
572,47560,48402
573,47561,482284
574,47560,48450
575,47562,48381
576,47562,484307
577,47562,48405
578,47561,48340
579,47564,48340
580,0,48340
581,2,48339
582,1,968656
583,1,435833
584,1,534513
585,1,193672
586,1,48357
587,1,338806
588,1,631286
589,1,48356
590,1,96786
591,1,48356
