,page scan,active->inactive,active->laundry,inactive->active,inactive->free,inactive->laundry,laundry->active,laundry->free
139,4757055,17942,338290,412,212374,338078,95,0
140,4763706,17942,339757,412,212850,342731,95,0
141,4767608,17942,340734,412,212850,345601,95,0
142,4773578,18564,340734,412,214246,349498,95,0
143,4778003,19186,340734,412,214384,353108,95,0
144,4783090,19851,340734,412,214795,357064,95,0
145,4789222,20472,340734,412,215929,361386,95,0
146,4795280,20472,341446,412,216806,365800,95,0
147,4798987,20670,341872,412,216884,368750,95,0
148,4803040,21168,342021,412,216985,372000,95,0
149,4809632,21790,342021,412,219256,375644,95,0
150,4815509,21790,342948,412,220196,379599,95,0
151,4819885,22017,343344,412,220526,382967,95,0
152,4824469,22511,343473,412,220614,386785,95,0
153,4831529,23170,343473,412,222237,391508,95,0
154,4837241,23170,345043,412,222281,395551,95,0
155,4841836,23170,345758,412,223091,398566,95,0
156,4848339,23827,345758,412,224601,402847,95,0
157,4852994,24449,345758,412,225133,406293,95,0
158,4857901,24449,346896,412,225493,409647,95,0
159,4861605,24449,347655,412,225493,412537,95,0
160,4867890,25071,347655,412,227022,416616,95,0
161,4873146,25694,347655,412,227569,420647,95,0
162,4877632,26348,347655,412,230740,421276,95,0
163,4883687,27004,347655,412,235453,421930,95,0
164,4889588,27370,347978,412,239977,422586,95,0
165,4896032,27370,350267,412,243734,422952,95,0
166,4902292,27370,352368,412,247861,422952,95,0
167,4908997,27370,356359,412,250543,422952,95,0
168,4915849,27370,358735,412,254987,422952,95,0
169,4923116,27370,362364,412,258593,422952,95,0
170,4930871,27370,364963,412,263717,422952,95,0
171,4938967,27370,369423,412,267321,422952,95,0
172,4947191,27370,372786,412,272150,422952,95,0
173,4955528,27370,377369,412,275872,422952,95,0
174,4963463,27370,381905,412,279239,422952,95,0
175,4971275,27370,386104,412,282820,422952,95,0
176,4979192,27370,388364,412,288445,422952,95,0
177,4988074,27370,392616,412,293043,422952,95,0
178,4996620,27370,397846,412,296327,422952,95,0
179,5004948,27370,401570,412,300899,422952,95,0
180,5013110,27370,406481,412,304118,422952,95,0
181,5021174,27370,409890,412,308741,422952,95,0
182,5029584,27370,413830,412,313179,422952,95,0
183,5037857,27370,418535,412,316711,422956,95,0
184,5045768,27370,422782,412,320343,422956,95,0
185,5053829,27370,426644,412,324510,422956,95,0
186,5062003,27370,429016,412,330258,422978,95,0
187,5071040,27370,434598,412,333424,423235,95,0
188,5079403,27370,438589,412,337764,423235,95,0
189,5087652,27370,443168,412,341402,423235,95,0
190,5096128,27370,446339,412,346675,423235,95,0
191,5105133,27370,450566,412,351421,423235,95,0
192,5113655,27370,456266,412,354211,423235,95,0
193,5121234,27370,460952,412,357072,423235,95,0
194,5128736,27370,463972,412,361522,423235,95,0
195,5136784,27370,467926,412,365584,423235,95,0
196,5144449,27370,471614,412,369529,423235,95,0
197,5152824,27370,474688,412,374798,423235,95,0
198,5166036,28072,474688,412,387276,423235,95,0
199,5182246,28072,477555,412,399885,423937,95,0
200,5200831,28072,483985,412,412008,423937,95,0
201,5221936,28072,491102,412,425964,423937,95,0
202,5244256,28072,502599,412,436755,423937,95,0
203,5267452,28072,511624,412,450894,423937,95,0
204,5291367,28072,524892,412,461230,424216,95,0
205,5314965,28072,534306,412,475382,424216,95,0
206,5339292,28072,548006,412,485977,424216,95,0
207,5363762,28072,558308,412,500113,424216,95,0
208,5388336,28072,572227,412,510736,424216,95,0
209,5412622,28072,583430,412,523787,424216,95,0
210,5462920,28072,631750,412,525568,424381,95,0
211,5511455,28072,679720,412,525936,424546,95,0
212,5559658,28072,727362,412,526300,424711,95,0
213,5607557,28072,774700,412,526664,424876,95,0
214,5657673,28072,824259,412,527024,425041,95,0
215,5707506,28072,873811,412,527108,425206,95,0
216,5757146,28072,923418,412,527108,425206,95,0
217,6724073,28079,933612,412,527108,425206,95,0
218,7694372,28143,933617,412,527114,425207,95,0
219,8159124,28155,983475,412,527178,425207,95,0
220,8301761,28156,1033321,412,527190,425207,95,0
221,8379016,28159,1083192,412,527191,425207,95,0
222,8444131,28160,1133008,412,527195,425226,95,0
223,8505275,28256,1182545,412,527195,425227,95,0
224,8560198,28257,1232138,412,527291,425227,95,0
225,8611746,28257,1281767,412,527292,425227,95,0
226,8662094,28257,1331421,412,527292,425227,95,0
227,8712032,28257,1381105,412,527292,425227,95,0
228,8814114,28394,1430378,412,527292,425227,95,0
229,8916260,28430,1479817,412,527429,425227,95,0
230,8984441,28433,1529289,412,527465,425227,95,0
231,9040484,28434,1578765,412,527468,425227,95,0
232,9096501,28438,1628230,412,527469,425227,95,0
233,9148499,28438,1677887,412,527473,425227,95,0
234,9198892,28439,1727374,412,527473,425227,95,0
235,9248754,28439,1776863,412,527474,425227,95,0
236,9298435,28439,1826352,412,527474,425227,95,0
237,9348116,28439,1875841,412,527474,425227,95,0
238,10318146,28450,1903393,412,527474,425227,95,0
239,11288176,28450,1903413,412,527485,425227,95,0
240,11365285,28450,1952891,412,527485,425227,95,0
241,11414835,28450,2002369,412,527485,425227,95,0
242,11464405,28450,2051847,412,527485,425227,95,0
243,11513955,28450,2101308,412,527485,425227,95,0
244,11563617,28450,2150772,412,527485,425227,95,0
245,11613268,28453,2200226,412,527485,425227,95,0
246,11662923,28453,2249685,412,527488,425227,95,0
247,11712588,28453,2299144,412,527488,425227,95,0
248,11762190,28453,2348605,412,527488,425227,95,0
249,11811793,28453,2398067,412,527488,425227,95,0
250,11861397,28453,2447530,412,527488,425227,95,0
251,11911033,28453,2496992,412,527488,425227,95,0
252,11960730,28453,2546515,412,527488,425227,95,0
253,12010212,28509,2595823,412,527488,425227,95,0
254,12059806,28509,2645243,413,527543,425227,95,0
255,12109400,28509,2694719,413,527543,425227,95,0
256,12158894,28542,2744095,413,527543,425227,95,0
257,12208456,28542,2793539,414,527575,425227,95,0
258,12258016,28542,2843014,414,527575,425227,95,0
259,13228036,28542,2873235,414,527575,425227,95,0
260,14198056,28542,2873235,414,527575,425227,95,0
261,14277824,28542,2922697,414,527575,425227,95,0
262,14327374,28542,2972162,414,527575,425227,95,0
263,14376923,28542,3021626,414,527575,425227,95,0
264,14426473,28542,3071091,414,527575,425227,95,0
265,14476022,28542,3120555,414,527575,425227,95,0
266,14525572,28542,3170019,414,527575,425227,95,0
267,14575123,28542,3219483,414,527575,425227,95,0
268,14624716,28542,3268946,414,527575,425227,95,0
269,14674376,28542,3318410,414,527575,425227,95,0
270,14724039,28542,3367876,414,527575,425227,95,0
271,14773773,28542,3417413,414,527575,425227,95,0
272,14823458,28544,3466944,414,527575,425227,95,0
273,14873090,28546,3516421,415,527576,425227,95,0
274,14922724,28546,3565902,415,527578,425227,95,0
275,14972412,28546,3615383,415,527578,425227,95,0
276,15022033,28546,3664863,415,527578,425227,95,0
277,15071656,28546,3714345,415,527578,425227,95,0
278,15121279,28546,3763826,415,527578,425227,95,0
279,15170933,28546,3813306,415,527578,425227,95,0
280,16140955,28546,3843077,415,527578,425227,95,0
281,17110977,28547,3843077,415,527578,425227,95,0
282,17190222,28603,3892377,416,527578,425227,95,0
283,17239767,28635,3941749,471,527579,425227,95,0
284,17289318,28635,3991183,472,527610,425227,95,0
285,17338837,28635,4040617,472,527610,425227,95,0
286,17388388,28635,4090083,472,527610,425227,95,0
287,17437938,28635,4139548,472,527610,425227,95,0
288,17487489,28635,4189014,472,527610,425227,95,0
289,17537039,28635,4238479,472,527610,425227,95,0
290,17586606,28635,4287960,472,527610,425227,95,0
291,17636176,28635,4337441,472,527610,425227,95,0
292,17685746,28635,4386922,472,527610,425227,95,0
293,17735352,28637,4436396,472,527610,425227,95,0
294,17784961,28638,4485873,473,527611,425227,95,0
295,17834569,28638,4535351,473,527612,425227,95,0
296,17884177,28638,4584830,473,527612,425227,95,0
297,17933850,28638,4634309,473,527612,425227,95,0
298,17983525,28638,4683788,473,527612,425227,95,0
299,18033142,28638,4733252,473,527612,425227,95,0
300,18082756,28640,4782713,473,527612,425227,95,0
301,19052776,28640,4812854,473,527614,425227,95,0
302,20022794,28641,4812854,473,527614,425227,95,0
303,20102538,28641,4862315,473,527615,425227,95,0
304,20152139,28641,4911775,473,527615,425227,95,0
305,20201578,28696,4961072,473,527615,425227,95,0
306,20251183,28696,5010535,528,527615,425227,95,0
307,20300766,28696,5059999,528,527615,425227,95,0
308,20350449,28697,5109563,528,527615,425227,95,0
309,20400044,28698,5159039,529,527615,425227,95,0
310,20449639,28698,5208516,529,527616,425227,95,0
311,20499138,28730,5257898,529,527616,425227,95,0
312,20548701,28730,5307344,530,527647,425227,95,0
313,20598234,28730,5356791,530,527647,425227,95,0
314,20647798,28730,5406269,530,527647,425227,95,0
315,20697366,28730,5455749,530,527647,425227,95,0
316,20746933,28730,5505228,530,527647,425227,95,0
317,20796500,28730,5554708,530,527647,425227,95,0
318,20846051,28730,5604173,530,527647,425227,95,0
319,20895602,28731,5653638,530,527647,425227,95,0
320,20945198,28731,5703105,531,527647,425227,95,0
321,20994791,28731,5752570,531,527647,425227,95,0
322,21964811,28731,5782653,531,527647,425227,95,0
323,22934831,28731,5782696,531,527647,425227,138,0
324,23014528,28731,5832160,531,527647,425227,138,0
325,23064014,28731,5880553,531,528652,425227,138,0
326,23112495,28731,5928945,531,528652,425227,138,0
327,23161092,28731,5977396,531,528652,425227,138,0
328,23209686,28731,6025847,531,528652,425227,138,0
329,23258233,28733,6074251,531,528652,425227,138,0
330,23306784,28734,6122658,532,528653,425227,138,0
331,23355170,28789,6170902,532,528654,425227,138,0
332,23403664,28789,6219255,532,528709,425227,138,0
333,23452114,28789,6267617,532,528710,425227,138,0
334,23500557,28790,6315973,532,528710,425227,138,0
335,23549034,28790,6364331,532,528711,425227,138,0
336,23597491,28790,6412670,532,528711,425227,138,0
337,23646011,28791,6461072,532,528711,425227,138,0
338,23694493,28791,6509435,532,528712,425227,138,0
339,23742882,28823,6557703,532,528712,425227,138,0
340,23791332,28823,6606032,532,528744,425227,138,0
341,23839751,28823,6654361,532,528744,425227,138,0
342,23888167,28823,6702690,532,528744,425227,139,0
343,23936613,28823,6751049,532,528744,425227,139,0
344,24905519,28823,6752420,532,528744,425227,139,0
345,25874425,28823,6752420,532,528744,425227,139,0
346,25924434,28824,6800912,532,528744,425227,139,0
347,25973075,28824,6849407,533,528744,425227,139,0
348,26021489,28841,6897719,533,528744,425227,139,0
349,26069936,28841,6946063,533,528761,425227,139,0
350,26118367,28841,6994408,533,528761,425227,139,0
351,26166794,28842,7042749,533,528761,425227,139,0
352,26215223,28842,7091091,533,528762,425227,139,0
353,26263651,28842,7139433,533,528762,425227,139,0
354,26312079,28842,7187775,533,528762,425227,139,0
355,26360496,28842,7236098,533,528762,425227,139,0
356,26408913,28843,7284421,533,528762,425227,139,0
357,26457313,28849,7332727,533,528763,425227,139,0
358,26505722,28849,7381043,533,528769,425227,139,0
359,26554119,28851,7429353,533,528769,425227,139,0
360,26602520,28851,7477667,533,528771,425227,139,0
361,26650920,28851,7525982,533,528771,425227,139,0
362,26699321,28851,7574298,533,528771,425227,139,0
363,26747722,28851,7622613,533,528771,425227,139,0
364,26796157,28851,7670930,533,528771,425227,139,0
365,26844647,28851,7719302,533,528771,425227,139,0
366,27813529,28851,7721181,533,528771,425227,139,0
367,28782411,28851,7721182,533,528771,425227,139,0
368,28832646,28882,7769422,533,528771,425227,139,0
369,28881067,28882,7817726,534,528801,425227,139,0
370,28929499,28882,7866029,534,528801,425227,139,0
371,28977959,28882,7914360,534,528801,425227,139,0
372,29026419,28882,7962691,534,528801,425227,139,0
373,29074862,28882,8011005,534,528801,425227,139,0
374,29123411,28883,8059467,534,528801,425227,139,0
375,29171963,28883,8107932,535,528801,425227,139,0
376,29220384,28883,8156267,535,528801,425227,139,0
377,29268803,28883,8204600,535,528801,425227,139,0
378,29317219,28884,8252930,535,528801,425227,139,0
379,29365637,28884,8301262,535,528802,425227,139,0
380,29414054,28884,8349594,535,528802,425227,139,0
381,29462472,28884,8397927,535,528802,425227,139,0
382,29510889,28884,8446259,535,528802,425227,139,0
383,29559310,28884,8494593,535,528802,425227,139,0
384,29607781,28884,8542977,535,528802,425227,139,0
385,29656252,28884,8591361,535,528802,425227,139,0
386,29704678,28884,8639700,535,528802,425227,139,0
387,29753097,28886,8688032,535,528802,425227,139,0
388,30721981,28886,8689943,536,528803,425227,139,0
389,31690863,28886,8689943,536,528803,425227,139,0
390,31741197,28886,8738278,536,528803,425227,139,0
391,31789621,28886,8786614,536,528803,425227,139,0
392,31838053,28886,8834929,536,528803,425227,139,0
393,31886570,28886,8883329,536,528803,425227,139,0
394,31935083,28887,8931726,536,528803,425227,139,0
395,31983536,28887,8980063,537,528803,425227,139,0
396,32031941,28917,9028310,537,528803,425227,139,0
397,32080407,28917,9076617,537,528833,425227,139,0
398,32128843,28917,9124924,537,528833,425227,139,0
399,32177309,28917,9173261,537,528833,425227,139,0
400,32225774,28917,9221597,537,528833,425227,139,0
401,32274240,28917,9269934,537,528833,425227,139,0
402,32322664,28917,9318271,537,528833,425227,139,0
403,32371213,28918,9366733,537,528833,425227,139,0
404,32419639,28918,9415072,538,528833,425227,139,0
405,32468066,28918,9463412,538,528833,425227,139,0
406,32516489,28919,9511748,538,528833,425227,139,0
407,32564912,28920,9560084,538,528834,425227,139,0
408,32613333,28920,9608419,538,528835,425227,139,0
409,32661755,28920,9656756,538,528835,425227,139,0
410,33630638,28920,9658705,538,528835,425227,139,0
411,34599521,28920,9658705,538,528835,425227,139,0
412,34649936,28920,9707084,538,528835,425227,139,0
413,34698399,28921,9755460,538,528835,425227,139,0
414,34746816,28922,9803789,538,528836,425227,139,0
415,34795234,28922,9852120,538,528837,425227,139,0
416,34843651,28922,9900451,538,528837,425227,139,0
417,34892068,28922,9948781,538,528837,425227,139,0
418,34940486,28922,9997113,538,528837,425227,139,0
419,34988903,28922,10045444,538,528837,425227,139,0
420,35037321,28922,10093776,538,528837,425227,139,0
421,35085932,28923,10142271,538,528837,425227,139,0
422,35134546,28923,10190769,539,528837,425227,139,0
423,35182999,28923,10239107,539,528837,425227,139,0
424,35231496,28923,10287446,539,528837,425227,139,0
425,35279903,28953,10335695,539,528837,425227,139,0
426,35328368,28953,10384001,539,528867,425227,139,0
427,35376833,28953,10432337,539,528867,425227,139,0
428,35425298,28953,10480673,539,528867,425227,139,0
429,35473762,28953,10529008,539,528867,425227,139,0
430,35522166,28953,10577324,539,528867,425227,139,0
431,35570682,28954,10625752,539,528867,425227,139,0
432,36539565,28954,10627467,540,528867,425227,139,0
433,37508447,28954,10627467,540,528867,425227,139,0
434,37558577,28956,10675795,540,528867,425227,139,0
435,37606995,28956,10724126,540,528869,425227,139,0
436,37655412,28956,10772458,540,528869,425227,139,0
437,37703830,28956,10820791,540,528869,425227,139,0
438,37752250,28956,10869125,540,528869,425227,139,0
439,37800670,28956,10917459,540,528869,425227,139,0
440,37849228,28956,10965929,540,528869,425227,139,0
441,37897786,28956,11014399,540,528869,425227,139,0
442,37946216,28956,11062743,540,528869,425227,139,0
443,37994646,28956,11111087,540,528869,425227,139,0
444,38043070,28957,11159424,540,528869,425227,139,0
445,38091497,28957,11207764,541,528869,425227,139,0
446,38139929,28957,11256109,542,528869,425227,139,0
447,38188360,28957,11304454,542,528869,425227,139,0
