,page scan,active->inactive,active->laundry,inactive->active,inactive->free,inactive->laundry,laundry->active,laundry->free
153,969440,0,34331,0,0,0,0,0
154,49064,0,49064,0,0,0,0,0
155,49124,0,49124,0,0,0,0,0
156,49124,0,49124,0,0,0,0,0
157,49078,0,49078,0,0,0,0,0
158,49080,0,49080,0,0,0,0,0
159,444206,0,49080,0,0,0,0,0
160,49079,0,49079,0,0,0,0,0
161,49080,0,49080,0,0,0,0,0
162,476170,0,49079,0,0,0,0,0
163,49081,0,49080,0,0,0,0,0
164,49131,0,49131,0,0,0,0,0
165,49131,0,49131,0,0,0,0,0
166,49087,0,49085,0,0,0,0,0
167,49086,0,49086,0,0,0,0,0
168,49063,0,49063,0,0,0,0,0
169,969440,0,49064,0,0,0,0,0
170,574557,0,48954,8,328,0,0,0
171,588835,0,48624,0,331,0,0,0
172,48682,0,48623,0,0,0,0,0
173,968988,0,3378,0,0,0,0,0
174,48724,0,48724,0,0,0,0,0
175,48638,0,48638,0,0,0,0,0
176,48639,0,48639,0,0,0,0,0
177,48638,0,48638,0,0,0,0,0
178,48639,0,48639,0,0,0,0,0
179,493241,0,48638,0,0,0,0,0
180,48639,0,48639,0,0,0,0,0
181,48639,0,48639,0,0,0,0,0
182,437879,2,48632,0,0,0,0,0
183,48688,0,48685,1,1,0,0,0
184,48685,0,48685,0,0,0,0,0
185,48637,0,48637,0,0,0,0,0
186,48611,0,48609,0,0,0,0,0
187,48612,0,48612,0,0,0,0,0
188,48611,0,48611,0,0,0,0,0
189,968987,8,41030,0,0,0,0,0
190,52002,14,48561,0,8,0,0,0
191,535163,40,48469,0,14,0,0,0
192,628197,0,48607,0,40,0,0,0
193,48654,1,48604,0,0,0,0,0
194,968925,0,3745,0,1,0,0,0
195,48561,0,48561,0,0,0,0,0
195,48561,0,48561,0,0,0,0,0
195,48561,0,48561,0,0,0,0,0
195,48561,0,48561,0,0,0,0,0
197,48738,0,48561,0,0,0,0,0
198,527438,0,48562,0,0,0,0,0
199,48561,0,48561,0,0,0,0,0
200,48611,0,48611,0,0,0,0,0
201,440514,0,48562,0,0,0,0,0
202,48565,0,48563,0,0,0,0,0
203,48546,0,48546,0,0,0,0,0
204,48549,0,48549,0,0,0,0,0
