,page scan,active->inactive,active->laundry,inactive->active,inactive->free,inactive->laundry,laundry->active,laundry->free
125,16992311,2417,919171,372,527102,908374,0,0
126,17042127,2417,968987,372,527102,908374,0,0
127,18012561,2426,1009864,372,527102,908374,0,0
128,18982995,2454,1018736,372,527111,908374,0,0
129,19032781,2454,1068491,372,527139,908374,0,0
130,19082582,2454,1118292,372,527139,908374,0,0
131,19132383,2454,1168093,372,527139,908374,0,0
132,19182118,2454,1217828,372,527139,908374,0,0
133,19237347,2454,1267566,372,527139,908374,0,0
134,19287084,2454,1317303,372,527139,908374,0,0
135,19336821,2454,1367040,372,527139,908374,0,0
136,19386558,2454,1416777,372,527139,908374,0,0
137,20356955,2462,1423544,372,527139,908374,0,0
138,20406967,2462,1473273,372,527147,908374,0,0
139,20456696,2462,1523002,372,527147,908374,0,0
140,20506439,2462,1572745,372,527147,908374,0,0
141,20556182,2462,1622488,372,527147,908374,0,0
142,20637337,2462,1672231,372,527147,908374,0,0
143,21540175,2462,1721973,372,527147,908374,0,0
144,21639661,2462,1771716,372,527147,908374,0,0
145,21698275,2462,1821458,372,527147,908374,0,0
146,21748018,2462,1871201,372,527147,908374,0,0
147,21797761,2462,1920944,372,527147,908374,0,0
148,22768151,2465,1939052,372,527147,908374,0,0
149,23738541,2465,1988802,372,527150,908374,0,0
150,23788409,2465,2038669,372,527150,908374,0,0
151,23838134,2465,2088394,372,527150,908374,0,0
152,23887862,2465,2138122,372,527150,908374,0,0
153,23937589,2465,2187849,372,527150,908374,0,0
154,23987365,2465,2237576,372,527150,908374,0,0
155,24037092,2465,2287303,372,527150,908374,0,0
156,24086818,2465,2337029,372,527150,908374,0,0
157,24136545,2465,2386756,372,527150,908374,0,0
158,25106932,2465,2386843,372,527150,908374,0,0
159,25156940,2466,2436581,372,527150,908374,0,0
160,25206681,2466,2486320,372,527151,908374,0,0
161,25256421,2466,2536060,372,527151,908374,0,0
162,25306160,2466,2585799,372,527151,908374,0,0
163,25405642,2466,2635539,372,527151,908374,0,0
164,26319526,2466,2685278,372,527151,908374,0,0
165,26419006,2466,2735018,372,527151,908374,0,0
166,26468746,2466,2784758,372,527151,908374,0,0
167,26518485,2466,2834497,372,527151,908374,0,0
168,26618022,2466,2884284,372,527151,908374,0,0
169,27588408,2466,2891012,372,527151,908374,0,0
170,28490874,2467,2940737,372,527151,908374,0,0
171,28590378,2467,2990453,372,527152,908374,0,0
172,28640095,2467,3040170,372,527152,908374,0,0
173,28689812,2467,3089887,372,527152,908374,0,0
174,28739529,2467,3139604,372,527152,908374,0,0
175,28789293,2467,3189320,372,527152,908374,0,0
176,28839010,2467,3239037,372,527152,908374,0,0
177,28889004,2467,3289031,372,527152,908374,0,0
178,28938815,2467,3338842,372,527152,908374,0,0
179,29909200,2467,3356824,372,527152,908374,0,0
180,29959279,2467,3406635,372,527152,908374,0,0
181,30009087,2468,3456442,372,527152,908374,0,0
182,30058898,2468,3506252,372,527153,908374,0,0
183,30165174,2468,3556061,372,527153,908374,0,0
184,31036071,2518,3605721,372,527153,908374,0,0
185,31153798,2518,3655481,372,527203,908374,0,0
186,31203611,2518,3705294,372,527203,908374,0,0
187,31253424,2518,3755107,372,527203,908374,0,0
188,31334769,2518,3804835,372,527203,908374,0,0
189,31999755,2522,3854554,372,527203,908374,0,0
190,32970089,2522,3861151,372,527207,908374,0,0
191,33268852,2522,3910877,372,527207,908374,0,0
192,33318578,2522,3960603,372,527207,908374,0,0
193,33368304,2522,4010329,372,527207,908374,0,0
194,33418030,2522,4060055,372,527207,908374,0,0
195,33467855,2522,4109842,372,527207,908374,0,0
196,33517642,2522,4159629,372,527207,908374,0,0
197,33567383,2522,4209370,372,527207,908374,0,0
198,33617123,2522,4259110,372,527207,908374,0,0
199,33666863,2522,4308850,372,527207,908374,0,0
200,34637194,2522,4308982,372,527207,908374,0,0
201,34736632,2522,4358722,372,527207,908374,0,0
202,34786379,2522,4408468,372,527208,908374,0,0
203,34836124,2522,4458213,372,527208,908374,0,0
