,page scan,active->inactive,active->laundry,inactive->active,inactive->free,inactive->laundry,laundry->active,laundry->free
152,11949,116,0,0,11374,138,0,0
153,11403,61,0,0,10838,116,0,0
154,10335,169,0,0,9754,61,0,0
155,967539,0,128,0,1567,169,0,0
156,965972,1,132,0,0,0,0,0
157,49022,0,48633,0,0,1,0,0
158,48631,0,48540,0,0,0,0,0
159,48600,0,48508,0,0,0,0,0
160,50067,0,50005,0,1,1,0,0
161,50163,36,49864,0,1,0,0,0
162,50223,14,49927,0,35,1,0,0
163,50177,12,49919,0,14,0,0,0
164,50187,0,49943,0,12,0,0,0
165,49739,143,49526,0,0,0,0,0
166,50067,0,49844,91,53,9,0,0
167,49908,0,49837,0,1,0,0,0
168,49907,0,49836,0,1,0,0,0
169,49874,0,49804,0,0,0,0,0
170,147180,0,49750,4,4,1,0,0
171,147168,1,49750,0,0,0,0,0
172,49831,0,49720,0,1,0,0,0
173,49809,0,49721,0,0,0,0,0
174,49807,0,49720,0,0,0,0,0
175,49851,0,49780,0,0,0,0,0
176,49851,0,49780,0,0,0,0,0
177,49805,0,49734,0,0,0,0,0
178,970286,0,20670,0,0,0,0,0
179,970286,0,1,0,0,0,0,0
180,70476,0,49734,0,1,0,0,0
181,49805,0,49729,0,5,0,0,0
182,49800,0,49729,0,0,0,0,0
183,49799,0,49728,0,0,0,0,0
184,49855,0,49782,0,0,0,0,0
185,49855,0,49782,0,0,0,0,0
186,49826,10,49698,0,0,0,0,0
187,49932,1,49716,0,10,0,0,0
188,49904,1,49699,0,1,0,0,0
189,49889,6,49686,0,1,0,0,0
190,49948,0,49697,0,6,0,0,0
191,49939,2,49692,0,0,0,0,0
192,49654,91,49422,0,2,0,0,0
193,49830,1,49600,0,91,0,0,0
194,50049,0,49874,15,2,0,0,0
195,49707,53,49548,0,0,0,0,0
196,49830,0,49655,1,52,0,0,0
197,49775,0,49654,0,0,0,0,0
198,49840,0,49712,4,3,0,0,0
199,970261,0,25862,0,0,0,0,0
200,970270,0,0,0,1,0,0,0
201,75691,0,49720,0,0,0,0,0
202,49830,0,49718,0,2,1,0,0
203,49851,0,49758,0,0,0,0,0
204,49827,8,49734,0,0,0,0,0
205,49803,0,49710,0,8,0,0,0
206,49795,0,49710,0,0,0,0,0
207,49779,0,49693,0,0,0,0,0
208,49782,0,49696,0,0,0,0,0
209,49781,0,49695,0,0,0,0,0
210,49783,0,49696,0,0,0,0,0
211,49781,0,49695,0,0,0,0,0
212,49844,0,49756,0,0,0,0,0
213,49860,0,49756,0,0,0,0,0
214,49813,0,49708,0,0,0,0,0
215,49902,0,49709,0,0,0,0,0
216,49900,0,49708,0,0,0,0,0
217,49902,0,49709,0,0,0,0,0
218,49903,0,49712,0,0,0,0,0
