Mar  5 12:28:22 ci010 kernel: 7752 | 0 1387 | 0 1477 4801 | 0 0
Mar  5 12:28:23 ci010 kernel: 6808 | 594 0 | 0 1750 4377 | 0 0
Mar  5 12:28:23 ci010 kernel: 9566 | 0 1608 | 0 2309 5562 | 0 0
Mar  5 12:28:24 ci010 kernel: 6471 | 0 1051 | 0 0 5333 | 0 0
Mar  5 12:28:24 ci010 kernel: 8129 | 594 0 | 0 2328 5120 | 0 0
Mar  5 12:28:24 ci010 kernel: 11056 | 0 1421 | 0 3287 6261 | 0 0
Mar  5 12:28:25 ci010 kernel: 9099 | 0 4222 | 0 0 4790 | 0 0
Mar  5 12:28:26 ci010 kernel: 9275 | 0 2395 | 0 633 6160 | 0 0
Mar  5 12:28:26 ci010 kernel: 6638 | 0 943 | 0 1275 4333 | 0 0
Mar  5 12:28:26 ci010 kernel: 8538 | 594 0 | 0 2731 5126 | 0 0
Mar  5 12:28:27 ci010 kernel: 7371 | 0 2108 | 0 1156 4020 | 0 0
Mar  5 12:28:27 ci010 kernel: 7277 | 0 692 | 0 1080 5418 | 0 0
Mar  5 12:28:28 ci010 kernel: 7366 | 544 49 | 0 620 6066 | 0 0
Mar  5 12:28:28 ci010 kernel: 8342 | 0 2132 | 0 1116 5007 | 0 0
Mar  5 12:28:29 ci010 kernel: 6197 | 0 1052 | 0 556 4502 | 0 0
Mar  5 12:28:29 ci010 kernel: 7764 | 612 0 | 0 1394 5671 | 0 0
Mar  5 12:28:30 ci010 kernel: 8643 | 0 875 | 0 2643 5038 | 0 0
Mar  5 12:28:30 ci010 kernel: 9185 | 0 2695 | 0 788 5615 | 0 0
Mar  5 12:28:31 ci010 kernel: 6500 | 0 611 | 0 2044 3758 | 0 0
Mar  5 12:28:32 ci010 kernel: 8369 | 0 2478 | 0 876 4928 | 0 0
Mar  5 12:28:32 ci010 kernel: 8249 | 0 1482 | 0 0 6680 | 0 0
Mar  5 12:28:33 ci010 kernel: 7827 | 636 0 | 0 2388 4716 | 0 0
Mar  5 12:28:33 ci010 kernel: 9449 | 0 1651 | 0 1452 6259 | 0 0
Mar  5 12:28:34 ci010 kernel: 6770 | 0 1040 | 0 60 5583 | 0 0
Mar  5 12:28:34 ci010 kernel: 5780 | 459 136 | 0 844 4254 | 0 0
Mar  5 12:28:35 ci010 kernel: 7493 | 653 0 | 0 638 6146 | 0 0
Mar  5 12:28:35 ci010 kernel: 9038 | 0 1883 | 31 646 6422 | 0 0
Mar  5 12:28:36 ci010 kernel: 5980 | 0 1254 | 0 0 4670 | 0 0
Mar  5 12:28:36 ci010 kernel: 6425 | 466 158 | 0 1309 4436 | 0 0
Mar  5 12:28:37 ci010 kernel: 10557 | 624 0 | 0 2717 7161 | 0 0
Mar  5 12:28:37 ci010 kernel: 8261 | 0 1185 | 1 1584 5436 | 0 0
Mar  5 12:28:38 ci010 kernel: 6986 | 228 397 | 0 595 5711 | 0 0
Mar  5 12:28:38 ci010 kernel: 6288 | 451 187 | 0 0 5595 | 0 0
Mar  5 12:28:39 ci010 kernel: 8011 | 625 0 | 0 1752 5579 | 0 0
Mar  5 12:28:39 ci010 kernel: 8456 | 0 2392 | 0 452 5557 | 0 0
Mar  5 12:28:40 ci010 kernel: 8125 | 0 1573 | 0 33 6464 | 0 0
Mar  5 12:28:40 ci010 kernel: 7607 | 669 0 | 0 1779 5104 | 0 0
Mar  5 12:28:41 ci010 kernel: 6963 | 623 0 | 0 705 5580 | 0 0
Mar  5 12:28:41 ci010 kernel: 7586 | 0 2106 | 0 0 5425 | 0 0
Mar  5 12:28:42 ci010 kernel: 7884 | 0 757 | 0 976 6096 | 0 0
Mar  5 12:28:42 ci010 kernel: 7389 | 622 0 | 0 1792 4920 | 0 0
Mar  5 12:28:43 ci010 kernel: 7056 | 0 1421 | 0 403 5177 | 0 0
Mar  5 12:28:43 ci010 kernel: 6667 | 628 0 | 0 1572 4412 | 0 0
Mar  5 12:28:44 ci010 kernel: 8379 | 622 0 | 0 721 6981 | 0 0
Mar  5 12:28:44 ci010 kernel: 6891 | 0 1518 | 0 279 5039 | 0 0
Mar  5 12:28:45 ci010 kernel: 6967 | 0 1011 | 0 0 5901 | 0 0
Mar  5 12:28:45 ci010 kernel: 6531 | 622 0 | 0 1441 4413 | 0 0
Mar  5 12:28:46 ci010 kernel: 7034 | 621 0 | 0 656 5702 | 0 0
Mar  5 12:28:46 ci010 kernel: 6370 | 644 0 | 0 71 5600 | 0 0
Mar  5 12:28:47 ci010 kernel: 585618 | 19 0 | 0 3190 582185 | 0 0
Mar  5 12:28:47 ci010 kernel: 6926 | 7 0 | 0 6703 15 | 0 0
Mar  5 12:28:48 ci010 kernel: 7034 | 8 0 | 0 6822 3 | 0 0
Mar  5 12:28:48 ci010 kernel: 3994 | 2 0 | 0 3773 6 | 0 0
Mar  5 12:28:49 ci010 kernel: 5484 | 69 0 | 0 5264 2 | 0 0
Mar  5 12:28:49 ci010 kernel: 5962 | 0 0 | 0 5720 19 | 0 0
Mar  5 12:28:50 ci010 kernel: 6840 | 99 0 | 0 6598 0 | 0 0
Mar  5 12:28:50 ci010 kernel: 7412 | 12 0 | 98 7067 0 | 0 0
Mar  5 12:28:51 ci010 kernel: 5221 | 25 0 | 1 4979 3 | 0 0
Mar  5 12:28:51 ci010 kernel: 5907 | 73 0 | 0 5641 9 | 0 0
Mar  5 12:28:52 ci010 kernel: 7406 | 3 0 | 0 7081 62 | 0 0
Mar  5 12:28:52 ci010 kernel: 7331 | 66 0 | 1 7064 4 | 0 0
Mar  5 12:28:53 ci010 kernel: 6669 | 80 0 | 0 6351 59 | 0 0
Mar  5 12:28:53 ci010 kernel: 4798 | 2 0 | 3 4450 80 | 0 0
Mar  5 12:28:54 ci010 kernel: 7155 | 63 0 | 0 6872 1 | 0 0
Mar  5 12:28:55 ci010 kernel: 6319 | 86 0 | 0 5983 63 | 0 0
Mar  5 12:28:55 ci010 kernel: 5679 | 19 0 | 3 5041 356 | 0 0
Mar  5 12:28:56 ci010 kernel: 7209 | 54 0 | 0 6907 19 | 0 0
Mar  5 12:28:56 ci010 kernel: 6816 | 92 0 | 0 6473 54 | 0 0
Mar  5 12:28:56 ci010 kernel: 5299 | 23 0 | 0 4913 92 | 0 0
Mar  5 12:28:57 ci010 kernel: 5991 | 60 0 | 0 5669 24 | 0 0
Mar  5 12:28:58 ci010 kernel: 5700 | 97 0 | 0 5339 59 | 0 0
Mar  5 12:28:58 ci010 kernel: 6022 | 27 0 | 0 5618 97 | 0 0
Mar  5 12:28:59 ci010 kernel: 7127 | 64 0 | 0 6774 27 | 0 0
Mar  5 12:28:59 ci010 kernel: 7456 | 102 0 | 0 7063 64 | 0 0
Mar  5 12:29:00 ci010 kernel: 12272 | 46 0 | 0 11846 102 | 0 0
Mar  5 12:29:00 ci010 kernel: 13300 | 67 0 | 1 12903 47 | 0 0
Mar  5 12:29:01 ci010 kernel: 12775 | 97 0 | 0 12365 66 | 0 0
Mar  5 12:29:01 ci010 kernel: 12875 | 71 0 | 1 12402 98 | 0 0
Mar  5 12:29:02 ci010 kernel: 14099 | 62 0 | 0 13665 70 | 0 0
Mar  5 12:29:02 ci010 kernel: 11486 | 127 0 | 0 11050 62 | 0 0
Mar  5 12:29:03 ci010 kernel: 12796 | 61 0 | 0 12284 127 | 0 0
Mar  5 12:29:03 ci010 kernel: 12834 | 72 0 | 0 12352 65 | 0 0
Mar  5 12:29:04 ci010 kernel: 13848 | 138 0 | 0 13370 72 | 0 0
Mar  5 12:29:04 ci010 kernel: 11949 | 116 0 | 0 11374 138 | 0 0
Mar  5 12:29:05 ci010 kernel: 11403 | 61 0 | 0 10838 116 | 0 0
Mar  5 12:29:05 ci010 kernel: 10335 | 169 0 | 0 9754 61 | 0 0
Mar  5 12:29:06 ci010 kernel: 967539 | 0 128 | 0 1567 169 | 0 0
Mar  5 12:29:07 ci010 kernel: 965972 | 1 132 | 0 0 0 | 0 0
Mar  5 12:29:07 ci010 kernel: 49022 | 0 48633 | 0 0 1 | 0 0
Mar  5 12:29:08 ci010 kernel: 48631 | 0 48540 | 0 0 0 | 0 0
Mar  5 12:29:08 ci010 kernel: 48600 | 0 48508 | 0 0 0 | 0 0
Mar  5 12:29:09 ci010 kernel: 50067 | 0 50005 | 0 1 1 | 0 0
Mar  5 12:29:09 ci010 kernel: 50163 | 36 49864 | 0 1 0 | 0 0
Mar  5 12:29:10 ci010 kernel: 50223 | 14 49927 | 0 35 1 | 0 0
Mar  5 12:29:10 ci010 kernel: 50177 | 12 49919 | 0 14 0 | 0 0
Mar  5 12:29:11 ci010 kernel: 50187 | 0 49943 | 0 12 0 | 0 0
Mar  5 12:29:11 ci010 kernel: 49739 | 143 49526 | 0 0 0 | 0 0
Mar  5 12:29:12 ci010 kernel: 50067 | 0 49844 | 91 53 9 | 0 0
Mar  5 12:29:12 ci010 kernel: 49908 | 0 49837 | 0 1 0 | 0 0
Mar  5 12:29:13 ci010 kernel: 49907 | 0 49836 | 0 1 0 | 0 0
Mar  5 12:29:13 ci010 kernel: 49874 | 0 49804 | 0 0 0 | 0 0
Mar  5 12:29:14 ci010 kernel: 147180 | 0 49750 | 4 4 1 | 0 0
Mar  5 12:29:14 ci010 kernel: 147168 | 1 49750 | 0 0 0 | 0 0
Mar  5 12:29:15 ci010 kernel: 49831 | 0 49720 | 0 1 0 | 0 0
Mar  5 12:29:15 ci010 kernel: 49809 | 0 49721 | 0 0 0 | 0 0
Mar  5 12:29:16 ci010 kernel: 49807 | 0 49720 | 0 0 0 | 0 0
Mar  5 12:29:16 ci010 kernel: 49851 | 0 49780 | 0 0 0 | 0 0
Mar  5 12:29:17 ci010 kernel: 49851 | 0 49780 | 0 0 0 | 0 0
Mar  5 12:29:18 ci010 kernel: 49805 | 0 49734 | 0 0 0 | 0 0
Mar  5 12:29:18 ci010 kernel: 970286 | 0 20670 | 0 0 0 | 0 0
Mar  5 12:29:19 ci010 kernel: 970286 | 0 1 | 0 0 0 | 0 0
Mar  5 12:29:19 ci010 kernel: 70476 | 0 49734 | 0 1 0 | 0 0
Mar  5 12:29:20 ci010 kernel: 49805 | 0 49729 | 0 5 0 | 0 0
Mar  5 12:29:20 ci010 kernel: 49800 | 0 49729 | 0 0 0 | 0 0
Mar  5 12:29:21 ci010 kernel: 49799 | 0 49728 | 0 0 0 | 0 0
Mar  5 12:29:21 ci010 kernel: 49855 | 0 49782 | 0 0 0 | 0 0
Mar  5 12:29:22 ci010 kernel: 49855 | 0 49782 | 0 0 0 | 0 0
Mar  5 12:29:22 ci010 kernel: 49826 | 10 49698 | 0 0 0 | 0 0
Mar  5 12:29:23 ci010 kernel: 49932 | 1 49716 | 0 10 0 | 0 0
Mar  5 12:29:23 ci010 kernel: 49904 | 1 49699 | 0 1 0 | 0 0
Mar  5 12:29:24 ci010 kernel: 49889 | 6 49686 | 0 1 0 | 0 0
Mar  5 12:29:25 ci010 kernel: 49948 | 0 49697 | 0 6 0 | 0 0
Mar  5 12:29:25 ci010 kernel: 49939 | 2 49692 | 0 0 0 | 0 0
Mar  5 12:29:26 ci010 kernel: 49654 | 91 49422 | 0 2 0 | 0 0
Mar  5 12:29:26 ci010 kernel: 49830 | 1 49600 | 0 91 0 | 0 0
Mar  5 12:29:27 ci010 kernel: 50049 | 0 49874 | 15 2 0 | 0 0
Mar  5 12:29:27 ci010 kernel: 49707 | 53 49548 | 0 0 0 | 0 0
Mar  5 12:29:28 ci010 kernel: 49830 | 0 49655 | 1 52 0 | 0 0
Mar  5 12:29:28 ci010 kernel: 49775 | 0 49654 | 0 0 0 | 0 0
Mar  5 12:29:29 ci010 kernel: 49840 | 0 49712 | 4 3 0 | 0 0
Mar  5 12:29:29 ci010 kernel: 970261 | 0 25862 | 0 0 0 | 0 0
Mar  5 12:29:30 ci010 kernel: 970270 | 0 0 | 0 1 0 | 0 0
Mar  5 12:29:30 ci010 kernel: 75691 | 0 49720 | 0 0 0 | 0 0
Mar  5 12:29:31 ci010 kernel: 49830 | 0 49718 | 0 2 1 | 0 0
Mar  5 12:29:32 ci010 kernel: 49851 | 0 49758 | 0 0 0 | 0 0
Mar  5 12:29:32 ci010 kernel: 49827 | 8 49734 | 0 0 0 | 0 0
Mar  5 12:29:33 ci010 kernel: 49803 | 0 49710 | 0 8 0 | 0 0
Mar  5 12:29:33 ci010 kernel: 49795 | 0 49710 | 0 0 0 | 0 0
Mar  5 12:29:34 ci010 kernel: 49779 | 0 49693 | 0 0 0 | 0 0
Mar  5 12:29:34 ci010 kernel: 49782 | 0 49696 | 0 0 0 | 0 0
Mar  5 12:29:35 ci010 kernel: 49781 | 0 49695 | 0 0 0 | 0 0
Mar  5 12:29:35 ci010 kernel: 49783 | 0 49696 | 0 0 0 | 0 0
Mar  5 12:29:36 ci010 kernel: 49781 | 0 49695 | 0 0 0 | 0 0
Mar  5 12:29:36 ci010 kernel: 49844 | 0 49756 | 0 0 0 | 0 0
Mar  5 12:29:37 ci010 kernel: 49860 | 0 49756 | 0 0 0 | 0 0
