Mar  5 12:56:42 ci010 kernel: 49363 | 0 49343 | 0 11 9 | 0 0
Mar  5 12:56:42 ci010 kernel: 969643 | 31 30448 | 0 0 0 | 0 0
Mar  5 12:56:43 ci010 kernel: 49347 | 0 49316 | 0 30 1 | 0 0
Mar  5 12:56:43 ci010 kernel: 49503 | 0 49503 | 0 0 0 | 0 0
Mar  5 12:56:44 ci010 kernel: 49504 | 0 49503 | 0 0 0 | 0 0
Mar  5 12:56:44 ci010 kernel: 49315 | 0 49315 | 0 0 0 | 0 0
Mar  5 12:56:45 ci010 kernel: 49317 | 0 49316 | 0 0 0 | 0 0
Mar  5 12:56:45 ci010 kernel: 49284 | 0 49284 | 0 0 0 | 0 0
Mar  5 12:56:46 ci010 kernel: 395860 | 0 49287 | 0 0 0 | 0 0
Mar  5 12:56:47 ci010 kernel: 49286 | 0 49286 | 0 0 0 | 0 0
Mar  5 12:56:47 ci010 kernel: 49287 | 0 49287 | 0 0 0 | 0 0
Mar  5 12:56:48 ci010 kernel: 505161 | 14 49244 | 0 0 0 | 0 0
Mar  5 12:56:48 ci010 kernel: 49325 | 0 49311 | 0 14 0 | 0 0
Mar  5 12:56:49 ci010 kernel: 49311 | 0 49311 | 0 0 0 | 0 0
Mar  5 12:56:49 ci010 kernel: 49265 | 0 49265 | 0 0 0 | 0 0
Mar  5 12:56:50 ci010 kernel: 52553 | 0 49266 | 0 0 0 | 0 0
Mar  5 12:56:50 ci010 kernel: 49265 | 0 49265 | 0 0 0 | 0 0
Mar  5 12:56:51 ci010 kernel: 49266 | 0 49266 | 0 0 0 | 0 0
Mar  5 12:56:51 ci010 kernel: 969599 | 41 46317 | 0 0 0 | 0 0
Mar  5 12:56:52 ci010 kernel: 969599 | 25 4732 | 0 41 0 | 0 0
Mar  5 12:56:52 ci010 kernel: 197194 | 0 49185 | 0 25 0 | 0 0
Mar  5 12:56:53 ci010 kernel: 49277 | 0 49184 | 0 0 0 | 0 0
Mar  5 12:56:53 ci010 kernel: 969533 | 4 423 | 0 0 0 | 0 0
Mar  5 12:56:54 ci010 kernel: 49225 | 0 49221 | 0 4 0 | 0 0
Mar  5 12:56:55 ci010 kernel: 49181 | 0 49181 | 0 0 0 | 0 0
Mar  5 12:56:55 ci010 kernel: 49181 | 0 49180 | 0 0 0 | 0 0
Mar  5 12:56:56 ci010 kernel: 49160 | 0 49160 | 0 0 0 | 0 0
Mar  5 12:56:56 ci010 kernel: 49163 | 0 49163 | 0 0 0 | 0 0
Mar  5 12:56:57 ci010 kernel: 49162 | 0 49162 | 0 0 0 | 0 0
Mar  5 12:56:57 ci010 kernel: 445141 | 0 49163 | 0 0 0 | 0 0
Mar  5 12:56:58 ci010 kernel: 49162 | 0 49162 | 0 0 0 | 0 0
Mar  5 12:56:58 ci010 kernel: 49228 | 0 49228 | 0 0 0 | 0 0
Mar  5 12:56:59 ci010 kernel: 447974 | 19 49171 | 0 0 0 | 0 0
Mar  5 12:56:59 ci010 kernel: 49168 | 0 49149 | 0 19 0 | 0 0
Mar  5 12:57:00 ci010 kernel: 49149 | 0 49149 | 0 0 0 | 0 0
Mar  5 12:57:01 ci010 last message repeated 2 times
Mar  5 12:57:01 ci010 kernel: 49148 | 0 49148 | 0 0 0 | 0 0
Mar  5 12:57:02 ci010 kernel: 49148 | 0 49148 | 0 0 0 | 0 0
Mar  5 12:57:03 ci010 kernel: 969510 | 39 32795 | 0 0 0 | 0 0
Mar  5 12:57:03 ci010 kernel: 590755 | 1 49153 | 0 39 0 | 0 0
Mar  5 12:57:04 ci010 kernel: 573632 | 1 49152 | 0 1 0 | 0 0
Mar  5 12:57:04 ci010 kernel: 49191 | 0 49108 | 0 1 0 | 0 0
Mar  5 12:57:05 ci010 kernel: 969469 | 1 2006 | 0 0 0 | 0 0
Mar  5 12:57:05 ci010 kernel: 49109 | 0 49108 | 0 1 0 | 0 0
Mar  5 12:57:06 ci010 kernel: 49089 | 0 49089 | 0 0 0 | 0 0
Mar  5 12:57:06 ci010 kernel: 49092 | 0 49092 | 0 0 0 | 0 0
Mar  5 12:57:07 ci010 kernel: 49091 | 0 49091 | 0 0 0 | 0 0
Mar  5 12:57:07 ci010 kernel: 49092 | 0 49092 | 0 0 0 | 0 0
Mar  5 12:57:08 ci010 kernel: 49091 | 0 49091 | 0 0 0 | 0 0
Mar  5 12:57:09 ci010 kernel: 475161 | 0 49150 | 0 0 0 | 0 0
Mar  5 12:57:09 ci010 kernel: 49150 | 0 49150 | 0 0 0 | 0 0
Mar  5 12:57:10 ci010 kernel: 49105 | 0 49105 | 0 0 0 | 0 0
Mar  5 12:57:10 ci010 kernel: 493228 | 2 49098 | 0 0 0 | 0 0
Mar  5 12:57:11 ci010 kernel: 49106 | 0 49103 | 0 2 0 | 0 0
Mar  5 12:57:11 ci010 kernel: 49102 | 0 49102 | 0 0 0 | 0 0
Mar  5 12:57:12 ci010 kernel: 49103 | 0 49103 | 0 0 0 | 0 0
Mar  5 12:57:13 ci010 last message repeated 2 times
Mar  5 12:57:13 ci010 kernel: 49227 | 0 49227 | 0 0 0 | 0 0
Mar  5 12:57:14 ci010 kernel: 969466 | 26 1298 | 0 0 0 | 0 0
Mar  5 12:57:15 ci010 kernel: 591455 | 1 49075 | 0 26 0 | 0 0
Mar  5 12:57:15 ci010 kernel: 541661 | 0 49078 | 0 1 0 | 0 0
Mar  5 12:57:16 ci010 kernel: 49131 | 0 49061 | 0 0 0 | 0 0
Mar  5 12:57:16 ci010 kernel: 969439 | 2 33007 | 0 0 0 | 0 0
Mar  5 12:57:17 ci010 kernel: 49063 | 0 49061 | 0 2 0 | 0 0
Mar  5 12:57:17 ci010 kernel: 49062 | 0 49062 | 0 0 0 | 0 0
Mar  5 12:57:18 ci010 kernel: 49061 | 0 49061 | 0 0 0 | 0 0
Mar  5 12:57:18 ci010 kernel: 49125 | 0 49125 | 0 0 0 | 0 0
Mar  5 12:57:19 ci010 kernel: 49125 | 0 49125 | 0 0 0 | 0 0
Mar  5 12:57:19 ci010 kernel: 49079 | 0 49079 | 0 0 0 | 0 0
Mar  5 12:57:20 ci010 kernel: 443293 | 0 49080 | 0 0 0 | 0 0
Mar  5 12:57:21 ci010 kernel: 81953 | 0 49080 | 0 0 0 | 0 0
Mar  5 12:57:21 ci010 kernel: 82084 | 0 49080 | 0 0 0 | 0 0
Mar  5 12:57:21 ci010 kernel: 458041 | 0 49080 | 0 0 0 | 0 0
Mar  5 12:57:22 ci010 kernel: 49081 | 0 49080 | 0 0 0 | 0 0
Mar  5 12:57:23 ci010 kernel: 49081 | 0 49081 | 0 0 0 | 0 0
